City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-04-26 18:45:36,-38.0023,-57.5575,71.62,88,75,15.01
1,Bushenyi,UG,2022-04-26 18:50:11,-0.5853,30.2114,61.41,94,100,1.03
2,Rikitea,PF,2022-04-26 18:48:57,-23.1203,-134.9692,78.24,75,100,22.26
3,Pandan,PH,2022-04-26 18:43:00,14.0453,124.1694,80.69,88,75,10.02
4,Qaanaaq,GL,2022-04-26 18:50:11,77.484,-69.3632,17.01,75,21,3.31
5,Aurillac,FR,2022-04-26 18:50:12,44.9167,2.45,61.68,42,0,3.44
6,Kavaratti,IN,2022-04-26 18:44:14,10.5669,72.642,85.28,73,48,6.35
7,Almansa,ES,2022-04-26 18:50:12,38.8692,-1.0971,57.36,59,100,6.04
8,Ancud,CL,2022-04-26 18:50:12,-41.8697,-73.8203,42.22,68,100,15.86
9,Albany,US,2022-04-26 18:44:04,42.6001,-73.9662,53.58,85,100,1.86
10,Nanortalik,GL,2022-04-26 18:50:13,60.1432,-45.2371,37.17,84,100,5.06
11,Joao Camara,BR,2022-04-26 18:50:13,-5.5375,-35.8197,82.87,66,6,12.64
12,Laguna,US,2022-04-26 18:45:24,38.421,-121.4238,72.43,46,10,3.0
13,Butaritari,KI,2022-04-26 18:41:13,3.0707,172.7902,80.94,83,33,18.72
14,Mehamn,NO,2022-04-26 18:50:14,71.0357,27.8492,19.42,76,100,29.97
15,Bambous Virieux,MU,2022-04-26 18:48:52,-20.3428,57.7575,77.25,83,75,9.22
16,Naze,JP,2022-04-26 18:50:15,28.3667,129.4833,72.52,85,100,15.1
17,Bethel,US,2022-04-26 18:48:57,41.3712,-73.414,56.62,90,100,3.44
18,Dikson,RU,2022-04-26 18:44:11,73.5069,80.5464,3.85,98,97,9.08
19,Punta Arenas,CL,2022-04-26 18:48:58,-53.15,-70.9167,42.91,61,75,10.36
20,Mataura,NZ,2022-04-26 18:48:53,-46.1927,168.8643,51.48,99,79,2.59
21,Victoria Point,AU,2022-04-26 18:50:16,-27.5833,153.3,64.9,95,99,6.4
22,Dongobesh,TZ,2022-04-26 18:50:16,-4.0667,35.3833,57.69,90,100,4.94
23,Margate,GB,2022-04-26 18:43:02,51.3813,1.3862,48.87,71,60,4.0
24,Jalu,LY,2022-04-26 18:50:17,29.0331,21.5482,84.31,13,86,14.45
25,Barrow,US,2022-04-26 18:44:06,71.2906,-156.7887,6.82,85,100,13.8
26,Dunedin,NZ,2022-04-26 18:42:18,-45.8742,170.5036,54.81,77,84,8.99
27,Sur,OM,2022-04-26 18:44:15,22.5667,59.5289,87.96,51,3,7.72
28,Yellowknife,CA,2022-04-26 18:47:47,62.456,-114.3525,41.56,56,40,11.5
29,Jamestown,US,2022-04-26 18:48:56,42.097,-79.2353,47.01,57,100,10.36
30,Dmitriyevka,RU,2022-04-26 18:50:17,54.75,55.3333,62.15,64,18,12.8
31,Port Hedland,AU,2022-04-26 18:50:18,-20.3167,118.5667,78.85,73,100,6.91
